Chord Type (titulo_aleatorio),Element Text,Phrase Role,Native Role Name,Font Size,Baseline Shift,Tracking (letter-spacing),,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,F,acorde_BAIXO_-track__,acorde_BAIXO_-track_#,9pt,,-0.16em,,,
,♯,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,F,acorde_PRE-SUSTENIDO_track-150,acorde_PRE-SUSTENIDO_track-150,10.5pt,,-0.15em,,,
,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0.01em,,,
,/B,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,G,acorde_NADA,acorde_NADA,10.5pt,,0em,,,
,m,acorde_MENOR_8pt,acorde_MENOR_8pt,8pt,,0em,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,B,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,-0.24em,,,
,♭,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,F,acorde_NADA,acorde_NADA,10.5pt,,0em,,,
,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,-0.21em,,,
,♯,acorde_SUSTENIDO_9pt_track-200,acorde_SUSTENIDO_9pt_track-200,9pt,,-0.2em,,,
,11,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.15em,,,
,F,acorde_NADA,acorde_NADA,10.5pt,,0em,,,
,+,acorde_AUMENTADO_8pt_shift4_5pt_-track,"acorde_AUMENTADO_8pt_shift4,5pt_-track",8pt,4.5pt,-0.25em,,,
,♯,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.15em,,,
,9,acorde_NUMEROS_9pt_shift_baixo_,acorde_NUMEROS_9pt_shift(baixo),9pt,,0.05em,,,
,D,acorde_NADA,acorde_NADA,,,0em,,,
,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,-0.15em,,,
,♯,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.22em,,,
,11,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.15em,,,
,D,acorde_NADA,acorde_NADA,,,0em,,,
,7,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,M,acorde_SETIMA__8pt_shift2_5pt,"acorde_SETIMA+_8pt_shift2,5pt",8pt,2.5pt,,,,
,13,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.1em,,,
,A,acorde_NADA,acorde_NADA,,,0em,,,
,9,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,1,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.15em,,,
,1,acorde_NUMEROS_9pt_shift_baixo__track-,acorde_NUMEROS_9pt_shift(baixo)_track-,9pt,,-0.05em,,,
,13,acorde_NUMEROS_9pt_-track,acorde_NUMEROS_9pt_-track,9pt,,-0.1em,,,
,Kozuka Gothic Pr6N,,,12pt,,,,,
,(Kerning: metrics / Tracking: automático),,,10pt,,,,,
,/,acorde_NUMEROS_9pt_shift2_5pt,"acorde_NUMEROS_9pt_shift2,5pt",9pt,2.5pt,,,,
,A,acorde_BAIXO_-track_b,acorde_BAIXO_-track_b,9pt,,0em,,,
